domain,remote name resolution,local name resolution remote rpc,local name resolution local rpc,remote ipfs gateway,local ipfs gateway
diptyqueparis.crypto,0.08235502243041992,0.04897785186767578,0.016831398010253906,0.5408012866973877,0.4517343044281006
fructal.crypto,0.08884119987487793,0.04998970031738281,0.01577281951904297,0.67386794090271,0.4485313892364502
four-thirds.crypto,0.08530139923095703,0.04756569862365723,0.02537393569946289,0.5404634475708008,0.4505119323730469
hrvatske-ceste.crypto,0.12853026390075684,0.04980611801147461,0.038529157638549805,0.5120418071746826,0.45238208770751953
basproduction.crypto,0.13033390045166016,0.04710817337036133,0.020906925201416016,0.5513367652893066,0.4536263942718506
httpool.crypto,0.07938790321350098,0.050505638122558594,0.0410764217376709,0.6725270748138428,0.4734959602355957
baglietto.crypto,0.08050298690795898,0.05047464370727539,0.017366409301757812,0.8361482620239258,0.48534679412841797
londonpass.crypto,0.1417686939239502,0.04453849792480469,0.025899887084960938,0.5813074111938477,0.45155954360961914
ktm-bikes.crypto,0.08269548416137695,0.0495152473449707,0.02452230453491211,0.5388569831848145,0.45482730865478516
jadrolinija.crypto,0.14408254623413086,0.1726522445678711,0.02613234519958496,0.5286867618560791,0.45111536979675293
instalike.crypto,0.0807180404663086,0.058031558990478516,0.034065961837768555,0.6751382350921631,0.4519350528717041
moranyachts.crypto,0.08181905746459961,0.04758954048156738,0.029306411743164062,0.6335279941558838,0.4545283317565918
fragonard.crypto,0.1081242561340332,0.047006845474243164,0.028008460998535156,0.5675604343414307,0.45064258575439453
instagood.crypto,0.13924431800842285,0.04972720146179199,0.042540788650512695,0.4951953887939453,0.34461355209350586
ktmgroup.crypto,0.13502836227416992,0.045539140701293945,0.024687528610229492,0.5462923049926758,0.4009437561035156
luka-kp.crypto,0.15151119232177734,0.051683664321899414,0.021795272827148438,0.5493664741516113,0.4527604579925537
mvagusta.crypto,0.1083517074584961,0.05073142051696777,0.024340152740478516,1.2362301349639893,0.4506664276123047
plodine.crypto,0.10127902030944824,0.047152042388916016,0.018254518508911133,0.5463478565216064,0.4475243091583252
netease-na.crypto,0.09281420707702637,0.045778512954711914,0.040952205657958984,0.5794992446899414,0.4497818946838379
telemach.crypto,0.13805103302001953,0.04871392250061035,0.023706436157226562,0.6200175285339355,0.44993042945861816
ufodrive.crypto,0.14325189590454102,0.04784798622131348,0.022574424743652344,0.5253376960754395,0.44983625411987305
subrinaprofessional.crypto,0.12867236137390137,0.050371646881103516,0.023563146591186523,0.5032930374145508,0.44933509826660156
slovenija.crypto,0.14947056770324707,0.04725050926208496,0.023996829986572266,0.5200037956237793,0.4474766254425049
twoo.crypto,0.07958054542541504,0.04962038993835449,0.02316117286682129,0.5341572761535645,0.4487462043762207
vantagetravel.crypto,0.09667396545410156,0.04948091506958008,0.026643991470336914,0.5507102012634277,0.45184779167175293
riko-hise.crypto,0.1251659393310547,0.05041217803955078,0.0156252384185791,0.4974358081817627,0.45383739471435547
slo-zeleznice.crypto,0.13748741149902344,0.0806732177734375,0.4415559768676758,0.603208065032959,0.4632587432861328
terme-krka.crypto,0.1440443992614746,0.2063908576965332,0.01500844955444336,0.5365643501281738,0.4522666931152344
